well,x,y,h, weight
1,1138.0145278450364,1776.654748603352,12.1,1
2,571.4285714285714,766.2122905027932,14.95,1
3,479.41888619854706,1896.3754189944134,14.79,1
4,1452.784503631961,680.0134078212288,12.14,1
5,479.41888619854706,713.5351955307262,15.13,1
6,1607.7481840193705,407.0502793296089,12.36,1
7,2518.1598062953994,584.2368715083799,9.32,1
8,978.2082324455206,1901.164245810056,12.89,1
9,891.0411622276027,1489.3251396648043,13.49,1
10,920.096852300242,1556.3687150837989,13.18,1
11,1108.9588377723971,464.51620111731836,13.57,1
12,2987.8934624697335,775.789944134078,7.94,0
13,251.81598062953992,1585.1016759776535,15.23,1
14,1046.004842615012,2121.450279329609,12.40,1
15,1893.4624697336558,1465.3810055865922,7.05,1
16,1544.7941888619853,871.5664804469272,11.16,1
17,1418.8861985472154,1398.3374301675976,10.42,1
18,1985.4721549636802,1522.8469273743017,5.91,1
19,2774.8184019370456,1302.5608938547487,3.71,1
20,605.3268765133172,1767.077094972067,14.28,1
21,920.096852300242,1273.8279329608938,13.41,1
22,1956.416464891041,1058.330726256983,8.64,1
23,1476.9975786924938,181.9754189944133,13.13,1
24,2329.2978208232444,1398.3374301675976,2.99,1
25,2208.2324455205808,617.758659217877,9.83,1
26,634.3825665859564,866.7776536312849,14.75,1
27,663.4382566585956,373.5284916201115,14.98,1
28,1956.416464891041,1020.0201117318436,9.10,1
29,2426.150121065375,1829.331843575419,0.15,1
30,949.1525423728812,1278.6167597765364,13.15,1
31,1733.6561743341404,181.9754189944133,12.23,1
32,2295.3995157384984,967.3430167597764,7.76,1
33,1704.6004842615012,153.24245810055845,12.26,1
34,2111.38014527845,775.789944134078,9.35,1
35,445.5205811138013,220.2860335195528,15.49,1
36,256.65859564164646,933.8212290502793,15.44,1
37,348.6682808716706,1245.094972067039,15.30,1
38,130.75060532687644,1680.8782122905027,15.13,1
39,2552.058111380145,929.0324022346367,7.15,1
40,1791.7675544794188,1245.094972067039,8.77,1
41,1583.5351089588376,23.9441340782123,12.74,1
42,67.79661016949149,1058.330726256983,15.52,0
43,164.6489104116223,1053.5418994413408,15.45,1
44,1641.646489104116,1360.0268156424581,8.94,1
45,1612.5907990314768,622.5474860335194,11.65,1
